SUPPLIER,ITEM TYPE,TOTAL_SALES,RETAIL_SALES,WAREHOUSE_SALES
FLYING DOG BREWERY LLLP,KEGS,4794.0,0.0,4794.0
NEW PARROTT & CO,WINE,4742.16,3564.16,1178.0
ATLAS BREW WORKS LLC,BEER,4586.8,701.63,3885.17
JACK POUST & COMPANY INC,WINE,4579.35,3513.53,1065.82
ASAHI BEER USA INC,BEER,4492.54,540.37,3952.17
PATERNO IMPORTS LTD,WINE,4477.92,2703.08,1774.84
BACCHUS IMPORTERS LTD,LIQUOR,4280.65,3393.65,887.0
JOS VICTORI WINES,WINE,4241.76,686.14,3555.62
SINGHA NORTH AMERICA INC,BEER,4226.36,727.06,3499.3
SALVETO IMPORTS LLC,WINE,4142.52,44.92,4097.6
CROWN IMPORTS,KEGS,4067.0,0.0,4067.0
KLEIN FAMILY VINTNERS,WINE,4025.16,3168.24,856.92
C MONDAVI & SONS,WINE,3957.81,1762.49,2195.32
PRESTIGE BEVERAGE GROUP OF MD LLC,LIQUOR,3686.48,2578.56,1107.92
IMPERO WINE DISTRIBUTORS VIRGINIA INC,WINE,3606.34,4.78,3601.56
DOPS INC,WINE,3602.2400000000002,292.77,3309.47
YOUNG WON TRADING INC,LIQUOR,3593.81,2438.96,1154.85
SANTA MARGHERITA USA INC,WINE,3499.3199999999997,1965.4,1533.92
EASTERN LIQUOR DISTRIBUTORS INC,LIQUOR,3481.94,2163.99,1317.95
BOLD ROCK PARTNERS LP,BEER,3477.74,602.91,2874.83
BANVILLE & JONES WINE MERCHANTS,WINE,3470.77,268.6,3202.17
BRONCO WINE COMPANY,WINE,3405.2599999999998,1151.35,2253.91
AREL GROUP WINE & SPIRITS,WINE,3299.06,1098.39,2200.67
VERMONT HARD CIDER COMPANY LLC,BEER,3136.21,314.71,2821.5
DOGFISH HEAD CRAFT BREWERY LLC,KEGS,3116.0,0.0,3116.0
RELIABLE CHURCHILL LLLP,BEER,3113.41,281.74,2831.67
FREIXENET MIONETTO USA INC,WINE,3028.57,1653.57,1375.0
CABERNET CORPORATION,WINE,3005.27,660.84,2344.43
SCHMITT SOHNE INC,WINE,2882.7599999999998,1721.84,1160.92
SOUTHERN GLAZERS WINE AND SPIRITS,NON-ALCOHOL,2882.34,2518.34,364.0
HEINEKEN USA,NON-ALCOHOL,2827.53,844.78,1982.75
DIONYSOS IMPORTS INC,BEER,2814.14,47.25,2766.89
PROXIMO SPIRITS INC,NON-ALCOHOL,2711.0299999999997,2616.0299999999997,95.0
DESCHUTES BREWERY INC,BEER,2676.31,688.81,1987.5
HEINEKEN USA,KEGS,2656.0,0.0,2656.0
FREDERICK WILDMAN & SONS,WINE,2648.55,1244.72,1403.83
DOGFISH HEAD CRAFT BREWERY,KEGS,2637.0,0.0,2637.0
MAST-JAEGERMEISTER US INC,LIQUOR,2634.76,2264.76,370.0
SAN ANTONIO WINERY INC,WINE,2629.5,1426.5,1203.0
PRESTIGE WINE IMPORTS,WINE,2601.44,1458.95,1142.49
RELIABLE CHURCHILL LLLP,NON-ALCOHOL,2459.36,1008.36,1451.0
STARR HILL BREWERY LLC,BEER,2440.82,288.07,2152.75
SWEETWATER BREWING COMPANY LLC,BEER,2434.02,509.77,1924.25
GRAPES & BARLEY LLC,WINE,2399.67,119.25,2280.42
CLIPPER CITY BREWING CO,KEGS,2373.0,0.0,2373.0
VIGNOBLES LVDH USA INC,WINE,2337.94,431.35,1906.59
MONTEBELLO BRANDS INC,LIQUOR,2332.93,2219.93,113.0
THE HESS COLLECTION,WINE,2281.19,1157.44,1123.75
Default,STR_SUPPLIES,2234.9,2234.9,0.0
TERRAPIN BEER COMPANY,BEER,2125.24,557.99,1567.25
DUCLAW BREWERY LLC,BEER,2113.42,572.42,1541.0
DIAGEO NORTH AMERICA INC,NON-ALCOHOL,2098.29,1263.04,835.25
DUVEL MOORTGAT USA LTD,BEER,2070.99,287.03,1783.96
RUTHERFORD WINE COMPANY,WINE,2049.52,85.67999999999999,1963.84
LCF WINE COMPANY LLC,WINE,2043.11,25.35,2017.76
A VINTNERS SELECTIONS,LIQUOR,2016.82,1122.66,894.16
WELL OILED WINE COMPANY LLC,WINE,2008.73,867.89,1140.84
DUGGANS DISTILLERS PROD,LIQUOR,2002.53,1988.53,14.0
ONE TRUE VINE,WINE,1968.11,1096.19,871.92
MICHAEL R DOWNEY SELECTIONS INC,WINE,1892.3700000000001,358.13,1534.24
DELMAR BREWING COMPANY LLC,KEGS,1869.0,0.0,1869.0
SIERRA NEVADA BREWING CO,KEGS,1817.0,0.0,1817.0
TRADEWINDS SPECIALTY IMPORTS LLC,WINE,1776.17,16.39,1759.78
INTERBALT PRODUCTS CORP,BEER,1769.13,7.66,1761.47
YOUNG WON TRADING INC,BEER,1765.58,137.62,1627.96
