YEAR,MONTH,ITEM TYPE,RETAIL_SALES,WAREHOUSE_SALES,RETAIL_TRANSFERS,TOTAL_SALES,TXN_COUNT
2019,10,BEER,23500.15,288670.53,21778.0,312170.68,1897
2019,10,KEGS,0.0,5659.0,0.0,5659.0,471
2019,10,LIQUOR,33122.71,5129.26,34970.68,38251.97,2584
2019,10,NON-ALCOHOL,1854.72,1020.6700000000001,990.0,2875.39,84
2019,10,REF,21.91,0.0,25.0,21.91,3
2019,10,STR_SUPPLIES,143.31,0.0,387.0,143.31,21
2019,10,WINE,29585.94,55825.07,30271.91,85411.01,7996
2019,11,BEER,26085.37,242524.68,23102.75,268610.05,1763
2019,11,KEGS,0.0,4820.0,0.0,4820.0,406
2019,11,LIQUOR,37932.02,4196.01,37583.58,42128.03,2629
2019,11,NON-ALCOHOL,1990.34,1027.63,994.0,3017.97,89
2019,11,REF,23.61,0.0,20.0,23.61,3
2019,11,STR_SUPPLIES,157.42,0.0,869.0,157.42,21
2019,11,WINE,35435.23,51823.12,34584.42,87258.35,7913
2020,1,BEER,18240.72,231519.37,20607.0,249760.09,1696
2020,1,KEGS,0.0,5202.0,0.0,5202.0,402
2020,1,LIQUOR,29345.56,4503.05,29330.81,33848.61,2527
2020,1,NON-ALCOHOL,1471.81,1075.67,1034.75,2547.48,87
2020,1,REF,16.1,0.0,25.0,16.1,1
2020,1,STR_SUPPLIES,153.43,0.0,344.0,153.43,24
2020,1,WINE,25090.77,48165.96,24652.79,73256.73,7223
2020,3,BEER,30327.920000000002,264127.14,31048.0,294455.06,1700
2020,3,KEGS,0.0,2628.0,0.0,2628.0,307
2020,3,LIQUOR,40648.27,2455.6,42220.4,43103.87,2446
2020,3,NON-ALCOHOL,2126.82,970.21,1582.0,3097.03,84
2020,3,REF,22.08,0.0,0.0,22.08,1
2020,3,STR_SUPPLIES,78.53,0.0,488.0,78.53,21
2020,3,WINE,36200.38,50133.35,35266.49,86333.73,6928
2020,7,BEER,28907.28,363499.98,22575.83,392407.26,1727
